venue,season,team1,team2,team1_runs,team2_runs,team1_wickets,team2_wickets,team1_strike_rate,team2_strike_rate,team1_boundaries,team2_boundaries,team1_powerplay_runs,team2_powerplay_runs,team1_death_runs,team2_death_runs,total_runs,run_difference,team1_won,winner
Sheikh Zayed Stadium,2017,United Arab Emirates,Papua New Guinea,180,150,3,10,141.73228346456693,120.0,20,13,40,56,32,21,330,30,1,United Arab Emirates
Sheikh Zayed Stadium,2017,Papua New Guinea,United Arab Emirates,128,130,5,5,104.91803278688525,109.24369747899159,9,10,44,42,18,17,258,2,0,United Arab Emirates
"Sabina Park, Kingston",2017,India,West Indies,190,194,6,1,152.0,163.0252100840336,26,26,63,64,26,15,384,4,0,West Indies
"R.Premadasa Stadium, Khettarama",2017,Sri Lanka,India,170,174,7,3,138.21138211382114,145.0,22,17,57,42,34,25,344,4,0,India
Saxton Oval,2017/18,New Zealand,West Indies,187,140,7,10,150.80645161290323,121.73913043478262,23,17,38,42,34,21,327,47,1,New Zealand
Bay Oval,2017/18,New Zealand,West Indies,243,124,5,9,195.96774193548387,118.0952380952381,29,17,62,69,35,0,367,119,1,New Zealand
Westpac Stadium,2017/18,Pakistan,New Zealand,105,106,10,3,86.77685950413223,108.16326530612245,8,12,23,26,21,0,211,1,0,New Zealand
Eden Park,2017/18,Pakistan,New Zealand,201,153,4,10,155.8139534883721,131.89655172413794,27,16,57,38,30,8,354,48,1,Pakistan
Bay Oval,2017/18,Pakistan,New Zealand,181,163,6,6,147.15447154471545,131.4516129032258,22,19,44,47,45,30,344,18,1,Pakistan
Gaddafi Stadium,2017/18,Pakistan,ICC World XI,197,177,5,7,161.47540983606555,142.74193548387098,25,26,48,45,47,29,374,20,1,Pakistan
Gaddafi Stadium,2017/18,Pakistan,ICC World XI,174,175,6,3,134.88372093023256,144.62809917355372,21,18,39,48,33,39,349,1,0,ICC World XI
Gaddafi Stadium,2017/18,Pakistan,ICC World XI,183,150,4,8,150.0,121.95121951219512,21,20,51,42,40,13,333,33,1,Pakistan
JSCA International Stadium Complex,2017/18,Australia,India,118,49,8,1,103.50877192982458,148.4848484848485,13,8,48,48,7,0,167,69,1,Australia
Barsapara Cricket Stadium,2017/18,India,Australia,118,122,10,2,94.39999999999999,128.42105263157896,11,15,34,33,14,0,240,4,0,Australia
Edgbaston,2018,England,Australia,221,193,5,10,181.14754098360655,156.91056910569105,33,26,70,55,25,19,414,28,1,England
Old Trafford,2018,England,India,159,163,8,2,127.2,142.98245614035088,20,21,53,49,20,17,322,4,0,India
Sophia Gardens,2018,India,England,148,149,5,5,120.32520325203254,125.21008403361344,14,17,30,42,31,22,297,1,0,England
County Ground,2018,England,India,198,201,9,3,163.63636363636365,177.87610619469027,31,30,72,70,23,31,399,3,0,India
Arun Jaitley Stadium,2017/18,India,New Zealand,202,149,3,8,164.22764227642276,118.25396825396825,26,17,44,29,41,32,351,53,1,India
Saurashtra Cricket Association Stadium,2017/18,New Zealand,India,196,156,2,7,155.55555555555557,128.92561983471074,24,20,45,40,22,30,352,40,1,New Zealand
Greenfield International Stadium,2017/18,India,New Zealand,67,61,5,6,136.73469387755102,122.0,7,6,48,38,0,0,128,6,1,India
Sheikh Zayed Stadium,2017/18,Sri Lanka,Pakistan,102,103,10,3,91.07142857142857,97.16981132075472,9,8,39,20,11,3,205,1,0,Pakistan
Sheikh Zayed Stadium,2017/18,Sri Lanka,Pakistan,124,125,9,8,101.63934426229508,100.80645161290323,12,6,41,36,16,24,249,1,0,Pakistan
Gaddafi Stadium,2017/18,Pakistan,Sri Lanka,180,144,3,9,145.16129032258064,118.0327868852459,18,16,44,37,45,29,324,36,1,Pakistan
The Wanderers Stadium,2017/18,India,South Africa,203,175,5,9,157.36434108527132,138.88888888888889,27,22,75,39,26,20,378,28,1,India
SuperSport Park,2017/18,India,South Africa,188,189,4,4,155.37190082644628,161.53846153846155,27,23,45,49,42,25,377,1,0,South Africa
Newlands,2017/18,India,South Africa,172,165,7,6,136.5079365079365,135.24590163934425,17,20,54,24,33,44,337,7,1,India
Barabati Stadium,2017/18,India,Sri Lanka,180,87,3,10,144.0,88.77551020408163,22,7,49,40,39,0,267,93,1,India
Holkar Cricket Stadium,2017/18,India,Sri Lanka,260,172,5,9,206.34920634920638,154.95495495495496,42,21,59,58,37,0,432,88,1,India
Wankhede Stadium,2017/18,Sri Lanka,India,135,139,7,5,107.14285714285714,116.80672268907564,15,14,34,36,25,23,274,4,0,India
Coolidge Cricket Ground,2017/18,West Indies,Sri Lanka,154,107,6,10,125.20325203252031,87.70491803278688,19,7,40,44,34,9,261,47,1,West Indies
Sharjah Cricket Stadium,2017/18,New Zealand,Pakistan,150,111,8,7,123.96694214876034,87.4015748031496,16,5,42,30,13,15,261,39,1,New Zealand
Sharjah Cricket Stadium,2017/18,New Zealand,Pakistan,126,84,4,10,102.4390243902439,72.41379310344827,12,8,29,42,37,11,210,42,1,New Zealand
Sharjah Cricket Stadium,2017/18,Pakistan,New Zealand,89,93,8,3,73.55371900826447,140.9090909090909,5,15,25,61,13,0,182,4,0,New Zealand
Senwes Park,2017/18,South Africa,India,164,168,4,3,133.33333333333331,142.3728813559322,24,23,36,59,38,20,332,4,0,India
Buffalo Park,2017/18,South Africa,India,142,144,7,1,114.51612903225808,122.03389830508475,14,15,37,39,31,24,286,2,0,India
The Wanderers Stadium,2017/18,India,South Africa,133,134,10,5,122.01834862385321,116.52173913043478,20,17,48,34,3,23,267,1,0,South Africa
Newlands,2017/18,India,South Africa,166,112,4,10,129.6875,100.9009009009009,23,12,28,21,32,3,278,54,1,India
The Cooper Associates County Ground,2018,New Zealand,South Africa,216,150,1,6,175.609756097561,122.95081967213115,29,22,54,41,34,24,366,66,1,New Zealand
The Cooper Associates County Ground,2018,England,South Africa,250,129,3,6,206.61157024793386,106.61157024793388,42,18,69,26,50,14,379,121,1,England
The Cooper Associates County Ground,2018,England,South Africa,160,166,5,4,131.14754098360655,140.67796610169492,21,23,43,49,37,25,326,6,0,South Africa
The Cooper Associates County Ground,2018,England,New Zealand,172,118,8,10,139.83739837398375,102.60869565217392,23,16,39,39,33,11,290,54,1,England
County Ground,2018,South Africa,New Zealand,148,151,6,2,114.72868217054264,158.94736842105263,16,22,37,50,31,0,299,3,0,New Zealand
County Ground,2018,New Zealand,England,129,130,10,3,116.21621621621621,134.020618556701,18,19,32,41,2,0,259,1,0,England
County Ground,2018,New Zealand,England,137,141,9,3,113.22314049586777,134.28571428571428,18,21,52,49,21,4,278,4,0,England
"Grange Cricket Club, Raeburn Place",2018,Pakistan,Scotland,204,156,4,6,164.51612903225808,126.82926829268293,25,18,44,50,40,31,360,48,1,Pakistan
"Grange Cricket Club, Raeburn Place",2018,Pakistan,Scotland,166,82,6,10,127.69230769230768,91.11111111111111,18,8,52,27,41,0,248,84,1,Pakistan
"Shere Bangla National Stadium, Mirpur",2017/18,Bangladesh,Sri Lanka,193,194,5,4,146.21212121212122,179.62962962962962,21,31,63,65,29,0,387,1,0,Sri Lanka
Sylhet International Cricket Stadium,2017/18,Sri Lanka,Bangladesh,210,135,4,10,164.0625,111.5702479338843,29,15,59,36,47,6,345,75,1,Sri Lanka
Brabourne Stadium,2017/18,India,Australia,152,156,5,4,125.6198347107438,140.54054054054055,26,22,46,54,40,9,308,4,0,Australia
Brabourne Stadium,2017/18,Australia,England,149,150,8,2,120.16129032258065,145.63106796116506,18,23,46,48,22,0,299,1,0,England
Brabourne Stadium,2017/18,India,England,198,199,4,3,153.48837209302326,171.55172413793102,29,28,48,66,44,16,397,1,0,England
Brabourne Stadium,2017/18,Australia,India,186,150,5,5,148.8,120.96774193548387,26,18,46,34,30,33,336,36,1,Australia
Brabourne Stadium,2017/18,England,Australia,96,97,10,2,88.88888888888889,136.61971830985914,11,18,37,41,1,0,193,1,0,Australia
