venue,season,team1,team2,team1_runs,team2_runs,team1_wickets,team2_wickets,team1_strike_rate,team2_strike_rate,team1_boundaries,team2_boundaries,team1_powerplay_runs,team2_powerplay_runs,team1_death_runs,team2_death_runs,total_runs,run_difference,team1_won,winner
Sawai Mansingh Stadium,2018,Chennai Super Kings,Rajasthan Royals,176,177,4,6,134.35114503816794,146.28099173553719,18,24,51,56,33,37,353,1,0,Rajasthan Royals
Holkar Cricket Stadium,2018,Kolkata Knight Riders,Kings XI Punjab,245,214,6,8,196.0,169.84126984126985,39,28,59,57,39,30,459,31,1,Kolkata Knight Riders
Arun Jaitley Stadium,2018,Delhi Daredevils,Royal Challengers Bangalore,181,187,4,5,143.65079365079364,157.14285714285714,23,24,41,53,33,24,368,6,0,Royal Challengers Bangalore
Maharashtra Cricket Association Stadium,2018,Sunrisers Hyderabad,Chennai Super Kings,179,180,4,2,137.69230769230768,156.52173913043478,23,24,26,53,26,19,359,1,0,Chennai Super Kings
Wankhede Stadium,2018,Mumbai Indians,Rajasthan Royals,168,171,6,3,132.28346456692915,152.67857142857142,22,23,48,43,33,18,339,3,0,Rajasthan Royals
Holkar Cricket Stadium,2018,Kings XI Punjab,Royal Challengers Bangalore,88,92,10,0,93.61702127659575,180.3921568627451,10,15,46,64,0,0,180,4,0,Royal Challengers Bangalore
Eden Gardens,2018,Rajasthan Royals,Kolkata Knight Riders,142,145,10,4,123.47826086956522,133.0275229357798,20,21,67,50,7,16,287,3,0,Kolkata Knight Riders
Wankhede Stadium,2018,Mumbai Indians,Kings XI Punjab,186,183,8,5,147.61904761904762,146.4,23,22,57,56,24,30,369,3,1,Mumbai Indians
M.Chinnaswamy Stadium,2018,Royal Challengers Bangalore,Sunrisers Hyderabad,218,204,6,3,178.68852459016392,165.85365853658536,32,28,44,56,40,30,422,14,1,Royal Challengers Bangalore
Arun Jaitley Stadium,2018,Delhi Daredevils,Chennai Super Kings,162,128,5,6,128.57142857142858,106.66666666666667,19,13,35,43,44,19,290,34,1,Delhi Daredevils
Sawai Mansingh Stadium,2018,Rajasthan Royals,Royal Challengers Bangalore,164,134,5,10,132.25806451612902,114.52991452991452,17,17,45,54,34,12,298,30,1,Rajasthan Royals
Rajiv Gandhi International Stadium,2018,Sunrisers Hyderabad,Kolkata Knight Riders,172,173,9,5,136.5079365079365,140.65040650406505,20,22,52,62,21,17,345,1,0,Kolkata Knight Riders
Arun Jaitley Stadium,2018,Delhi Daredevils,Mumbai Indians,174,163,4,10,139.2,133.60655737704917,20,20,43,55,30,26,337,11,1,Delhi Daredevils
Maharashtra Cricket Association Stadium,2018,Kings XI Punjab,Chennai Super Kings,153,159,10,5,123.38709677419355,129.26829268292684,17,18,26,31,21,38,312,6,0,Chennai Super Kings
Wankhede Stadium,2018,Sunrisers Hyderabad,Chennai Super Kings,139,140,7,8,107.75193798449611,118.64406779661016,16,18,47,32,38,42,279,1,0,Chennai Super Kings
Eden Gardens,2018,Kolkata Knight Riders,Rajasthan Royals,169,144,7,4,134.12698412698413,119.00826446280992,21,16,39,50,32,17,313,25,1,Kolkata Knight Riders
Eden Gardens,2018,Sunrisers Hyderabad,Kolkata Knight Riders,174,160,7,9,140.3225806451613,132.2314049586777,23,22,43,65,48,24,334,14,1,Sunrisers Hyderabad
Wankhede Stadium,2018,Sunrisers Hyderabad,Chennai Super Kings,178,181,6,2,140.15748031496062,158.7719298245614,22,27,39,33,31,15,359,3,0,Chennai Super Kings
MA Chidambaram Stadium,2019,Royal Challengers Bangalore,Chennai Super Kings,70,71,10,3,67.3076923076923,64.54545454545455,4,7,31,15,0,2,141,1,0,Chennai Super Kings
Eden Gardens,2019,Sunrisers Hyderabad,Kolkata Knight Riders,181,183,3,4,147.15447154471545,151.2396694214876,21,26,50,47,31,53,364,2,0,Kolkata Knight Riders
Wankhede Stadium,2019,Delhi Capitals,Mumbai Indians,213,176,6,9,171.7741935483871,144.2622950819672,33,26,43,44,50,15,389,37,1,Delhi Capitals
Sawai Mansingh Stadium,2019,Kings XI Punjab,Rajasthan Royals,184,170,4,9,143.75,137.09677419354838,24,21,29,64,32,19,354,14,1,Kings XI Punjab
Arun Jaitley Stadium,2019,Delhi Capitals,Chennai Super Kings,147,150,6,4,117.6,123.96694214876034,18,19,41,54,19,23,297,3,0,Chennai Super Kings
Eden Gardens,2019,Kolkata Knight Riders,Kings XI Punjab,218,190,4,4,175.80645161290323,152.0,31,27,52,49,55,37,408,28,1,Kolkata Knight Riders
M.Chinnaswamy Stadium,2019,Mumbai Indians,Royal Challengers Bangalore,187,181,8,5,149.6,147.15447154471545,26,24,52,60,37,31,368,6,1,Mumbai Indians
Rajiv Gandhi International Stadium,2019,Rajasthan Royals,Sunrisers Hyderabad,198,201,2,5,159.6774193548387,168.9075630252101,25,27,34,68,56,20,399,3,0,Sunrisers Hyderabad
Punjab Cricket Association IS Bindra Stadium,2019,Mumbai Indians,Kings XI Punjab,176,177,7,2,141.93548387096774,148.73949579831933,23,22,62,38,26,13,353,1,0,Kings XI Punjab
Arun Jaitley Stadium,2019,Kolkata Knight Riders,Delhi Capitals,185,185,8,6,149.19354838709677,150.40650406504065,26,26,35,44,39,16,370,0,0,Delhi Capitals
Rajiv Gandhi International Stadium,2019,Sunrisers Hyderabad,Royal Challengers Bangalore,231,113,2,10,190.9090909090909,91.869918699187,30,13,59,26,35,9,344,118,1,Sunrisers Hyderabad
MA Chidambaram Stadium,2019,Chennai Super Kings,Rajasthan Royals,175,167,5,8,138.88888888888889,133.6,22,18,29,42,56,33,342,8,1,Chennai Super Kings
Punjab Cricket Association IS Bindra Stadium,2019,Kings XI Punjab,Delhi Capitals,166,152,9,10,133.8709677419355,125.6198347107438,22,20,54,44,25,7,318,14,1,Kings XI Punjab
Sawai Mansingh Stadium,2019,Royal Challengers Bangalore,Rajasthan Royals,158,164,4,3,129.5081967213115,132.25806451612902,21,20,45,49,32,22,322,6,0,Rajasthan Royals
Wankhede Stadium,2019,Mumbai Indians,Chennai Super Kings,170,133,5,8,136.0,104.72440944881889,23,17,38,32,47,25,303,37,1,Mumbai Indians
Arun Jaitley Stadium,2019,Delhi Capitals,Sunrisers Hyderabad,129,131,8,5,105.73770491803278,114.91228070175438,13,16,35,53,31,17,260,2,0,Sunrisers Hyderabad
M.Chinnaswamy Stadium,2019,Royal Challengers Bangalore,Kolkata Knight Riders,205,206,3,5,165.3225806451613,168.85245901639345,27,28,53,52,30,50,411,1,0,Kolkata Knight Riders
MA Chidambaram Stadium,2019,Chennai Super Kings,Kings XI Punjab,160,138,3,5,128.0,111.29032258064515,18,12,53,45,42,21,298,22,1,Chennai Super Kings
Rajiv Gandhi International Stadium,2019,Mumbai Indians,Sunrisers Hyderabad,136,96,7,10,109.6774193548387,88.07339449541286,15,9,30,37,42,5,232,40,1,Mumbai Indians
M.Chinnaswamy Stadium,2019,Royal Challengers Bangalore,Delhi Capitals,149,152,8,6,120.16129032258065,126.66666666666666,15,21,37,46,15,8,301,3,0,Delhi Capitals
Sawai Mansingh Stadium,2019,Rajasthan Royals,Kolkata Knight Riders,139,140,3,2,111.20000000000002,162.7906976744186,15,21,28,63,23,0,279,1,0,Kolkata Knight Riders
Punjab Cricket Association IS Bindra Stadium,2019,Sunrisers Hyderabad,Kings XI Punjab,150,151,4,4,121.95121951219512,126.890756302521,14,16,19,38,34,19,301,1,0,Kings XI Punjab
MA Chidambaram Stadium,2019,Kolkata Knight Riders,Chennai Super Kings,108,111,9,3,87.8048780487805,102.77777777777777,15,11,27,38,28,1,219,3,0,Chennai Super Kings
Wankhede Stadium,2019,Kings XI Punjab,Mumbai Indians,197,198,4,7,157.6,155.90551181102362,26,26,50,50,51,39,395,1,0,Mumbai Indians
Sawai Mansingh Stadium,2019,Rajasthan Royals,Chennai Super Kings,151,155,7,6,123.77049180327869,125.0,18,13,48,24,34,38,306,4,0,Chennai Super Kings
Eden Gardens,2019,Kolkata Knight Riders,Delhi Capitals,178,180,7,3,143.5483870967742,156.52173913043478,24,24,40,57,34,18,358,2,0,Delhi Capitals
Wankhede Stadium,2019,Mumbai Indians,Rajasthan Royals,187,188,5,6,152.03252032520325,157.98319327731093,23,28,57,58,40,16,375,1,0,Rajasthan Royals
Punjab Cricket Association IS Bindra Stadium,2019,Kings XI Punjab,Royal Challengers Bangalore,173,174,4,2,138.39999999999998,148.71794871794873,23,23,60,63,32,38,347,1,0,Royal Challengers Bangalore
Eden Gardens,2019,Kolkata Knight Riders,Chennai Super Kings,161,162,8,5,128.8,135.0,20,24,45,44,11,32,323,1,0,Chennai Super Kings
Rajiv Gandhi International Stadium,2019,Delhi Capitals,Sunrisers Hyderabad,155,116,7,10,125.0,99.14529914529915,18,10,49,39,23,6,271,39,1,Delhi Capitals
Wankhede Stadium,2019,Royal Challengers Bangalore,Mumbai Indians,171,172,7,5,141.32231404958677,143.33333333333334,22,25,40,65,25,28,343,1,0,Mumbai Indians
